study_hours,absences,midterm,final_score
31,9,8.1,8.6
13,4,5.2,5.6
19,2,8.9,10.0
19,6,5.1,5.1
30,1,5.0,7.3
46,8,4.2,6.3
17,9,6.6,5.6
55,9,7.1,9.4
36,0,4.4,7.1
43,5,8.3,10.0
53,6,6.5,9.2
56,7,6.9,9.4
36,9,6.4,7.0
8,8,6.2,4.5
34,1,7.1,9.5
41,9,4.9,6.0
27,1,5.0,6.7
43,4,8.7,10.0
49,4,9.2,10.0
19,5,6.1,6.5
47,2,5.5,8.7
33,7,7.5,8.8
40,0,6.2,8.8
17,5,4.1,5.1
36,3,4.9,6.7
11,0,7.9,8.9
55,6,7.6,10.0
26,8,4.1,4.4
32,3,5.2,7.1
6,3,5.3,4.8
46,5,7.7,10.0
49,2,4.1,7.5
57,5,4.6,8.0
10,6,8.4,7.4
32,9,5.0,5.3
32,9,7.6,8.5
48,2,5.3,8.9
48,6,4.5,7.0
24,2,5.3,6.6
34,1,8.0,10.0
15,9,8.7,7.7
59,3,8.6,10.0
32,7,6.2,6.7
29,8,7.7,8.2
43,6,5.1,6.7
37,0,5.6,9.1
5,2,8.9,8.6
31,8,4.1,4.6
56,0,4.5,9.3
17,8,5.1,4.4
45,7,4.1,6.1
7,0,5.0,6.0
43,5,7.2,9.6
10,4,6.3,6.2
12,5,8.9,8.1
31,9,8.5,8.4
13,4,5.9,6.2
41,5,5.4,7.6
37,4,6.1,8.3
55,4,7.2,10.0
46,3,5.5,8.8
48,2,7.4,10.0
28,2,6.3,8.0
19,3,7.0,7.5
58,8,6.4,8.7
36,1,5.6,7.8
36,8,9.2,9.8
28,0,8.2,10.0
45,0,4.8,7.9
56,4,8.8,10.0
53,5,6.7,9.3
53,5,8.9,10.0
56,2,8.4,10.0
16,6,6.3,5.9
43,8,4.1,5.9
6,9,5.5,4.2
7,7,7.0,5.1
53,5,7.5,10.0
41,7,5.4,7.0
53,4,4.8,8.3
21,7,8.6,8.4
53,9,9.4,10.0
6,3,6.9,6.3
6,9,4.9,2.7
32,7,5.5,6.7
58,9,4.1,5.9
27,1,9.0,10.0
41,4,4.6,7.1
36,8,7.2,8.3
37,3,5.5,7.9
5,5,7.0,6.1
23,0,7.6,9.5
6,8,8.6,7.0
57,0,5.1,9.9
48,4,4.1,6.9
30,3,4.8,6.1
36,2,9.0,10.0
10,5,8.8,8.1
36,1,7.3,10.0
59,2,7.3,10.0
8,4,7.7,6.7
59,8,5.0,7.8
15,1,9.0,10.0
21,9,6.3,6.0
42,7,6.1,7.5
28,1,6.9,8.4
9,4,4.3,3.9
56,6,4.9,7.8
38,7,8.1,9.1
10,0,4.5,5.4
26,5,7.3,8.7
15,0,5.3,6.6
52,1,6.1,10.0
20,0,5.6,6.9
37,4,6.0,8.3
13,9,8.0,6.7
10,8,5.6,4.3
20,5,7.1,7.5
33,0,6.6,9.4
7,0,7.7,8.3
24,1,9.2,10.0
40,8,8.0,9.3
23,2,5.2,6.4
30,0,4.2,6.7
7,4,5.4,5.2
23,6,7.3,7.2
24,5,4.3,5.3
36,0,6.7,9.5
11,4,7.3,7.1
56,4,5.8,9.5
45,5,8.2,10.0
37,2,4.6,6.8
44,4,4.4,7.2
43,6,8.0,9.8
22,4,6.7,8.0
44,4,7.8,10.0
5,4,6.4,5.9
15,9,5.4,4.1
32,9,8.5,9.5
29,2,8.4,9.8
54,0,7.8,10.0
27,4,5.5,6.4
35,8,7.2,7.9
34,0,6.0,8.8
46,2,4.5,8.1
39,3,9.0,10.0
11,0,4.8,5.2
20,0,9.2,10.0
30,7,6.5,7.5
52,1,5.0,8.4
56,7,7.0,9.8
53,6,8.8,10.0
6,9,8.0,6.4
5,9,8.4,6.4
52,1,7.6,10.0
16,5,7.8,7.3
9,5,8.7,8.4
41,2,5.4,8.5
36,1,6.7,9.4
59,0,5.2,9.8
13,5,9.4,8.7
45,4,9.2,10.0
39,8,4.2,5.0
23,0,7.9,9.5
52,6,9.1,10.0
20,4,5.0,5.5
7,4,7.1,6.5
24,1,9.0,10.0
28,2,4.2,5.7
58,6,7.8,10.0
37,5,5.6,7.7
28,1,9.1,10.0
56,5,9.3,10.0
15,1,9.2,10.0
53,1,6.6,10.0
12,1,8.7,9.1
40,2,8.6,10.0
42,1,5.8,9.4
44,3,8.6,10.0
24,8,4.2,4.6
39,5,7.3,9.2
52,0,5.3,9.2
29,7,4.7,4.9
39,6,4.4,6.2
29,9,7.8,7.6
33,2,5.9,8.0
22,0,8.0,10.0
50,4,4.4,7.3
22,3,5.7,7.1
6,9,7.0,4.8
58,7,8.3,10.0
39,0,5.8,8.5
20,9,7.4,6.8
45,0,8.9,10.0
40,3,7.4,9.9
37,7,5.3,6.9
8,4,4.1,3.5
37,1,8.8,10.0
18,5,4.1,4.1
25,4,8.8,9.9
52,1,6.9,10.0
24,2,9.2,10.0
12,8,8.4,7.0
11,6,9.5,8.6
7,6,5.9,4.8
21,5,8.2,8.6
37,7,6.2,7.4
52,3,6.6,10.0
16,7,7.5,6.7
55,3,8.8,10.0
26,7,9.4,10.0
59,8,8.2,10.0
26,2,6.3,8.1
50,2,6.3,9.8
34,1,8.1,10.0
42,9,5.3,6.4
42,2,4.6,7.4
49,2,6.0,9.5
55,4,5.6,8.8
58,4,5.6,9.6
12,1,5.3,6.2
31,9,4.2,4.6
31,5,4.1,5.2
38,4,9.4,10.0
25,5,6.4,6.7
34,0,6.1,8.7
37,4,7.7,9.4
32,8,5.2,6.2
51,9,9.2,10.0
37,1,8.3,10.0
9,0,4.5,5.1
52,9,6.3,8.3
23,8,8.8,9.4
8,9,9.2,7.5
39,8,6.6,7.5
53,8,7.4,9.8
21,5,4.9,4.6
48,7,9.5,10.0
32,0,5.3,7.7
34,9,9.2,9.4
33,3,7.6,9.6
50,0,7.3,10.0
57,7,6.8,9.1
10,0,5.3,5.9
39,2,5.0,6.7
45,3,5.2,8.2
41,7,5.0,6.6
28,5,8.3,9.0
33,9,5.9,6.5
53,6,4.3,6.7
50,7,9.3,10.0
57,1,8.9,10.0
35,9,9.1,9.4
39,7,9.5,10.0
37,2,5.0,7.2
56,6,6.2,9.0
25,2,8.2,9.6
36,6,7.8,9.0
27,1,4.8,6.8
37,9,8.5,9.0
7,5,5.2,4.5
22,2,5.2,6.3
29,2,7.0,8.3
46,8,7.3,9.2
35,6,7.2,8.6
58,4,4.5,8.8
7,9,8.8,6.8
44,6,5.5,7.4
50,8,4.7,6.7
28,0,8.9,10.0
54,6,9.3,10.0
36,5,8.7,10.0
51,9,8.5,10.0
26,8,7.6,7.6
27,0,7.0,9.5
6,3,4.5,4.4
31,8,6.2,6.7
46,3,6.0,8.9
6,9,5.4,3.5
30,2,8.0,9.9
21,8,6.7,6.7
44,1,4.4,7.5
37,3,5.2,7.5
13,5,7.8,7.2
47,1,4.4,7.6
58,7,8.7,10.0
52,7,6.7,8.5
43,0,6.6,10.0
33,2,7.3,9.0
46,9,8.5,10.0
59,8,5.9,9.0
30,4,7.7,8.9
39,5,7.1,8.3
54,3,5.5,8.9
29,9,8.8,8.6
28,1,8.4,9.7
17,7,7.6,7.3
11,5,8.7,8.4
40,4,8.8,10.0
49,8,7.9,9.5
24,0,8.6,10.0
5,4,7.8,7.1
12,5,7.7,7.4
50,4,7.4,10.0
20,5,8.1,8.9
18,5,4.9,5.4
16,6,8.8,8.7
55,3,8.8,10.0
27,7,4.2,4.4
19,6,8.5,8.6
32,8,4.7,4.9
38,6,5.8,7.4
6,2,8.1,8.1
36,2,4.9,7.8
27,7,8.5,8.8
26,4,8.6,9.7
55,3,6.8,10.0
29,7,4.0,4.5
26,5,5.6,6.2
26,1,7.4,9.6
53,3,9.4,10.0
56,3,7.5,10.0
46,5,5.4,8.1
10,5,7.5,7.4
19,0,7.0,8.4
58,7,8.3,10.0
47,5,4.6,7.2
41,2,8.2,10.0
37,8,7.0,7.7
12,1,9.3,10.0
57,7,5.9,8.9
48,9,7.5,9.5
48,2,9.1,10.0
9,4,4.6,4.1
43,5,9.2,10.0
8,9,7.8,5.9
10,5,4.4,4.1
49,3,5.7,9.2
36,2,7.9,10.0
56,3,4.4,8.1
34,0,7.2,10.0
51,3,5.9,9.8
