study_hours,absences,midterm,final_score
20,2,6.5,9.0
49,8,9.2,10.0
22,6,4.8,7.2
51,3,7.2,10.0
57,9,6.8,10.0
28,4,7.4,9.8
30,1,4.1,7.4
29,7,8.8,10.0
49,3,9.1,10.0
45,8,7.1,10.0
33,4,7.8,10.0
19,8,9.1,9.9
49,3,7.9,10.0
5,9,4.8,3.8
29,4,7.2,10.0
11,8,7.3,7.3
13,7,6.3,6.9
28,2,8.1,10.0
5,0,9.1,9.7
48,2,9.1,10.0
12,3,6.5,7.7
28,1,4.6,7.3
15,0,9.4,10.0
55,6,8.6,10.0
21,7,4.7,6.8
12,6,9.1,9.6
39,4,8.8,10.0
39,0,6.9,10.0
37,6,7.3,10.0
9,6,6.2,6.6
46,8,4.3,8.7
43,2,5.8,10.0
45,8,8.4,10.0
32,0,4.0,8.3
11,0,5.8,7.4
13,3,6.2,7.4
12,8,7.0,7.0
16,5,9.1,10.0
38,2,5.9,10.0
37,0,5.9,9.9
52,3,8.1,10.0
59,8,6.5,10.0
27,2,5.2,8.5
28,8,6.5,8.0
41,6,4.8,8.9
39,3,5.0,8.9
48,2,6.7,10.0
44,9,6.3,10.0
26,4,9.0,10.0
31,4,6.0,9.4
39,2,7.2,10.0
5,8,7.5,7.2
39,3,4.1,8.1
41,4,7.6,10.0
51,3,5.0,10.0
18,4,9.3,10.0
7,6,4.8,4.8
5,8,6.3,5.6
9,6,4.5,5.0
30,4,9.5,10.0
59,9,6.8,10.0
18,9,7.3,7.8
43,6,4.4,8.8
31,9,8.1,10.0
13,4,5.2,6.5
19,2,8.9,10.0
19,6,5.1,6.5
30,1,5.0,8.6
46,8,4.2,8.9
17,9,6.6,7.2
55,9,7.1,10.0
36,0,4.4,8.6
43,5,8.3,10.0
53,6,6.5,10.0
56,7,6.9,10.0
36,9,6.4,9.4
8,8,6.2,5.7
34,1,7.1,10.0
41,9,4.9,8.6
27,1,5.0,7.9
43,4,8.7,10.0
49,4,9.2,10.0
19,5,6.1,7.7
47,2,5.5,10.0
33,7,7.5,10.0
40,0,6.2,10.0
17,5,4.1,6.3
36,3,4.9,8.5
11,0,7.9,9.4
55,6,7.6,10.0
26,8,4.1,6.3
32,3,5.2,8.7
6,3,5.3,5.3
46,5,7.7,10.0
49,2,4.1,9.6
57,5,4.6,10.0
10,6,8.4,8.4
32,9,5.0,7.5
32,9,7.6,10.0
48,2,5.3,10.0
48,6,4.5,9.5
24,2,5.3,7.8
34,1,8.0,10.0
15,9,8.7,9.2
59,3,8.6,10.0
32,7,6.2,8.7
29,8,7.7,10.0
43,6,5.1,9.1
37,0,5.6,10.0
5,2,8.9,9.0
31,8,4.1,6.7
56,0,4.5,10.0
17,8,5.1,5.9
45,7,4.1,8.6
7,0,5.0,6.3
43,5,7.2,10.0
10,4,6.3,7.0
12,5,8.9,9.1
31,9,8.5,10.0
13,4,5.9,7.2
41,5,5.4,9.8
37,4,6.1,10.0
55,4,7.2,10.0
46,3,5.5,10.0
48,2,7.4,10.0
28,2,6.3,9.3
19,3,7.0,8.6
58,8,6.4,10.0
36,1,5.6,9.3
36,8,9.2,10.0
28,0,8.2,10.0
45,0,4.8,9.7
56,4,8.8,10.0
53,5,6.7,10.0
53,5,8.9,10.0
56,2,8.4,10.0
16,6,6.3,7.1
43,8,4.1,8.4
6,9,5.5,5.3
7,7,7.0,6.1
53,5,7.5,10.0
41,7,5.4,9.3
53,4,4.8,10.0
21,7,8.6,9.9
53,9,9.4,10.0
6,3,6.9,6.8
6,9,4.9,3.9
32,7,5.5,8.7
58,9,4.1,9.2
27,1,9.0,10.0
41,4,4.6,9.2
36,8,7.2,10.0
37,3,5.5,9.7
5,5,7.0,6.8
23,0,7.6,10.0
6,8,8.6,8.0
57,0,5.1,10.0
48,4,4.1,9.2
30,3,4.8,7.6
36,2,9.0,10.0
10,5,8.8,9.0
36,1,7.3,10.0
59,2,7.3,10.0
8,4,7.7,7.4
59,8,5.0,10.0
15,1,9.0,10.0
21,9,6.3,7.7
42,7,6.1,9.9
28,1,6.9,9.6
9,4,4.3,4.7
56,6,4.9,10.0
38,7,8.1,10.0
10,0,4.5,5.8
26,5,7.3,10.0
15,0,5.3,7.2
52,1,6.1,10.0
20,0,5.6,7.7
37,4,6.0,10.0
13,9,8.0,8.1
10,8,5.6,5.5
20,5,7.1,8.8
33,0,6.6,10.0
7,0,7.7,8.5
24,1,9.2,10.0
40,8,8.0,10.0
23,2,5.2,7.6
30,0,4.2,7.9
7,4,5.4,5.8
23,6,7.3,8.7
24,5,4.3,6.8
36,0,6.7,10.0
11,4,7.3,7.9
56,4,5.8,10.0
45,5,8.2,10.0
37,2,4.6,8.5
44,4,4.4,9.3
43,6,8.0,10.0
22,4,6.7,9.3
44,4,7.8,10.0
5,4,6.4,6.5
15,9,5.4,5.6
32,9,8.5,10.0
29,2,8.4,10.0
54,0,7.8,10.0
27,4,5.5,7.9
35,8,7.2,10.0
34,0,6.0,10.0
46,2,4.5,10.0
39,3,9.0,10.0
11,0,4.8,5.6
20,0,9.2,10.0
30,7,6.5,9.4
52,1,5.0,10.0
56,7,7.0,10.0
53,6,8.8,10.0
6,9,8.0,7.5
5,9,8.4,7.5
52,1,7.6,10.0
16,5,7.8,8.4
9,5,8.7,9.3
41,2,5.4,10.0
36,1,6.7,10.0
59,0,5.2,10.0
13,5,9.4,9.8
45,4,9.2,10.0
39,8,4.2,7.4
23,0,7.9,10.0
52,6,9.1,10.0
20,4,5.0,6.7
7,4,7.1,7.1
24,1,9.0,10.0
28,2,4.2,7.1
58,6,7.8,10.0
37,5,5.6,9.6
28,1,9.1,10.0
56,5,9.3,10.0
15,1,9.2,10.0
53,1,6.6,10.0
12,1,8.7,9.7
40,2,8.6,10.0
42,1,5.8,10.0
44,3,8.6,10.0
24,8,4.2,6.4
39,5,7.3,10.0
52,0,5.3,10.0
29,7,4.7,6.8
39,6,4.4,8.4
29,9,7.8,9.7
33,2,5.9,9.6
22,0,8.0,10.0
50,4,4.4,9.7
22,3,5.7,8.3
6,9,7.0,6.0
58,7,8.3,10.0
39,0,5.8,10.0
20,9,7.4,8.5
45,0,8.9,10.0
40,3,7.4,10.0
37,7,5.3,9.0
8,4,4.1,4.3
37,1,8.8,10.0
18,5,4.1,5.4
25,4,8.8,10.0
52,1,6.9,10.0
24,2,9.2,10.0
12,8,8.4,8.3
11,6,9.5,9.6
7,6,5.9,5.7
21,5,8.2,9.9
37,7,6.2,9.6
52,3,6.6,10.0
16,7,7.5,8.1
55,3,8.8,10.0
26,7,9.4,10.0
59,8,8.2,10.0
26,2,6.3,9.4
50,2,6.3,10.0
34,1,8.1,10.0
42,9,5.3,9.0
42,2,4.6,9.2
49,2,6.0,10.0
55,4,5.6,10.0
58,4,5.6,10.0
12,1,5.3,6.7
31,9,4.2,6.8
31,5,4.1,6.9
38,4,9.4,10.0
25,5,6.4,8.2
34,0,6.1,10.0
37,4,7.7,10.0
32,8,5.2,8.2
51,9,9.2,10.0
37,1,8.3,10.0
9,0,4.5,5.5
52,9,6.3,10.0
23,8,8.8,10.0
8,9,9.2,8.7
39,8,6.6,9.9
53,8,7.4,10.0
21,5,4.9,5.9
48,7,9.5,10.0
32,0,5.3,9.0
34,9,9.2,10.0
33,3,7.6,10.0
50,0,7.3,10.0
57,7,6.8,10.0
10,0,5.3,6.3
39,2,5.0,8.5
45,3,5.2,10.0
41,7,5.0,9.0
28,5,8.3,10.0
33,9,5.9,8.7
53,6,4.3,9.4
50,7,9.3,10.0
57,1,8.9,10.0
35,9,9.1,10.0
39,7,9.5,10.0
37,2,5.0,8.9
56,6,6.2,10.0
25,2,8.2,10.0
36,6,7.8,10.0
27,1,4.8,8.0
37,9,8.5,10.0
7,5,5.2,5.3
22,2,5.2,7.4
29,2,7.0,9.7
46,8,7.3,10.0
35,6,7.2,10.0
58,4,4.5,10.0
7,9,8.8,8.0
44,6,5.5,9.8
50,8,4.7,9.5
28,0,8.9,10.0
54,6,9.3,10.0
36,5,8.7,10.0
51,9,8.5,10.0
26,8,7.6,9.4
27,0,7.0,10.0
6,3,4.5,5.0
31,8,6.2,8.8
46,3,6.0,10.0
6,9,5.4,4.7
30,2,8.0,10.0
21,8,6.7,8.3
44,1,4.4,9.3
37,3,5.2,9.2
13,5,7.8,8.2
47,1,4.4,9.6
58,7,8.7,10.0
52,7,6.7,10.0
43,0,6.6,10.0
33,2,7.3,10.0
46,9,8.5,10.0
59,8,5.9,10.0
30,4,7.7,10.0
39,5,7.1,10.0
54,3,5.5,10.0
29,9,8.8,10.0
28,1,8.4,10.0
17,7,7.6,8.7
11,5,8.7,9.3
40,4,8.8,10.0
49,8,7.9,10.0
24,0,8.6,10.0
5,4,7.8,7.7
12,5,7.7,8.4
50,4,7.4,10.0
20,5,8.1,10.0
18,5,4.9,6.6
16,6,8.8,9.9
55,3,8.8,10.0
27,7,4.2,6.2
19,6,8.5,10.0
32,8,4.7,7.0
38,6,5.8,9.5
6,2,8.1,8.5
36,2,4.9,9.4
27,7,8.5,10.0
26,4,8.6,10.0
55,3,6.8,10.0
29,7,4.0,6.3
26,5,5.6,7.7
26,1,7.4,10.0
53,3,9.4,10.0
56,3,7.5,10.0
46,5,5.4,10.0
10,5,7.5,8.3
19,0,7.0,9.1
58,7,8.3,10.0
47,5,4.6,9.6
41,2,8.2,10.0
37,8,7.0,10.0
12,1,9.3,10.0
57,7,5.9,10.0
48,9,7.5,10.0
48,2,9.1,10.0
9,4,4.6,4.9
43,5,9.2,10.0
8,9,7.8,7.1
10,5,4.4,5.0
49,3,5.7,10.0
36,2,7.9,10.0
56,3,4.4,10.0
34,0,7.2,10.0
51,3,5.9,10.0
